BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t2605,18862.78249761018,343.72367277158037,-8249.502930381826,0.0,0.0,0.0,0.0,0.0,0.0,-10957.00324
t2606,19649.06473819536,289.16143747882415,-8304.065165674154,0.0,0.0,0.0,0.0,0.0,0.0,-11634.16101
t2607,20344.724530537143,277.4553313076736,-8315.771271844733,0.0,0.0,0.0,0.0,0.0,0.0,-12306.40859
t2608,21084.843920156734,302.616411498565,-8290.610191655323,0.0,0.0,0.0,0.0,0.0,0.0,-13096.85014
t2609,17046.719777310303,2596.434810647489,-4985.362367957791,0.0,0.0,0.0,0.0,0.0,0.0,-14657.79222
t2610,11408.385791990511,5747.334716367972,-1622.5550783584833,0.0,0.0,0.0,0.0,0.0,0.0,-15533.16543
t2611,9445.615837461437,6904.322254206771,-617.473071668207,0.0,0.0,0.0,0.0,0.0,0.0,-15732.46502
t2612,8371.836773087123,7082.3381647421575,-515.5371478292786,0.0,0.0,0.0,0.0,0.0,0.0,-14938.63779
t2613,7716.649547367163,7352.445384236829,-384.65387160399155,0.0,0.0,0.0,0.0,0.0,0.0,-14684.44106
t2614,7862.246708638257,6714.16904623603,-729.1284248742891,0.0,0.0,0.0,0.0,0.0,0.0,-13847.28733
t2615,9700.410869685844,5495.1844490575,-1818.7632787433483,0.0,0.0,0.0,0.0,0.0,0.0,-13376.83204
t2616,9354.617611667032,5269.7334706177,-2024.4735322847341,0.0,0.0,0.0,0.0,0.0,0.0,-12599.87755
t2617,9664.0115793681,4759.156159718065,-2622.7077090861667,0.0,0.0,0.0,0.0,0.0,0.0,-11800.46003
t2618,8171.640676339372,5304.528433722075,-2034.2083000614466,0.0,0.0,0.0,0.0,0.0,0.0,-11441.96081
t2619,9172.62116007815,4720.323204076618,-2700.334144154768,0.0,0.0,0.0,0.0,0.0,0.0,-11192.61022
t2620,9955.205901910269,4361.837287206315,-3121.3403091165846,0.0,0.0,0.0,0.0,0.0,0.0,-11195.70288
t2621,9809.6087406392,4517.457756818719,-2939.2374874579186,0.0,0.0,0.0,0.0,0.0,0.0,-11387.82901
t2622,9827.808385798062,4642.641831551264,-2385.503327349328,0.0,0.0,0.0,0.0,0.0,0.0,-12084.94689
t2623,10340.225804923093,2716.4244950877164,-1.0809115582408944e-8,0.0,0.0,0.0,0.0,0.0,0.0,-13056.6503
t2624,14881.90445493641,1.0379498798757889e-8,-2042.8186749467816,0.0,0.0,0.0,0.0,0.0,0.0,-12839.08578
t2625,19828.633454723084,125.78998920504664,-8467.436613928134,0.0,0.0,0.0,0.0,0.0,0.0,-11486.98683
t2626,18438.85820977197,376.30189168452375,-8216.924711456491,0.0,0.0,0.0,0.0,0.0,0.0,-10598.23539
t2627,18087.037077182664,442.09437797910107,-8151.13222516177,0.0,0.0,0.0,0.0,0.0,0.0,-10377.99923
t2628,18016.93079711125,479.2362580146611,-8113.990345125916,0.0,0.0,0.0,0.0,0.0,0.0,-10382.17671
t2629,18513.954972232987,487.26048545397407,-8105.966117686961,0.0,0.0,0.0,0.0,0.0,0.0,-10895.24934
t2630,19180.37489376092,484.7047046902899,-8108.521898451212,0.0,0.0,0.0,0.0,0.0,0.0,-11556.5577
t2631,20338.787354708384,410.8432292159674,-8182.383373924351,0.0,0.0,0.0,0.0,0.0,0.0,-12567.24721
t2632,21663.459879690196,449.33502672583575,-8143.8915764160265,0.0,0.0,0.0,0.0,0.0,0.0,-13968.90333
t2633,18718.5685578366,2754.3136976538435,-5838.912905490446,0.0,0.0,0.0,0.0,0.0,0.0,-15633.96935
t2634,13848.147415303325,5469.289048920729,-3123.937554224054,0.0,0.0,0.0,0.0,0.0,0.0,-16193.49891
t2635,12219.18650879999,6311.4403321716245,-2281.786270971615,0.0,0.0,0.0,0.0,0.0,0.0,-16248.84057
t2636,11575.391452837286,6352.316090152714,-2240.910512990006,0.0,0.0,0.0,0.0,0.0,0.0,-15686.79703
t2637,11268.054189560788,6269.681631791251,-2323.544971352038,0.0,0.0,0.0,0.0,0.0,0.0,-15214.19085
t2638,11049.72012178973,5894.956475677321,-2698.2701274670485,0.0,0.0,0.0,0.0,0.0,0.0,-14246.40647
t2639,10094.501481255136,6104.224330944433,-2489.0022721995683,0.0,0.0,0.0,0.0,0.0,0.0,-13709.72354
t2640,10001.18180667085,5723.987068237073,-2869.2395349079234,0.0,0.0,0.0,0.0,0.0,0.0,-12855.92934
t2641,10387.855115541184,5085.0945588021395,-3508.132044343327,0.0,0.0,0.0,0.0,0.0,0.0,-11964.81763
t2642,10727.469486824406,4720.14312816083,-3873.0834749852356,0.0,0.0,0.0,0.0,0.0,0.0,-11574.52914
t2643,10833.144889346191,4592.553516900013,-4000.6730862462027,0.0,0.0,0.0,0.0,0.0,0.0,-11425.02532
t2644,11047.44411548262,4459.396398831865,-4133.830204314487,0.0,0.0,0.0,0.0,0.0,0.0,-11373.01031
