BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t7660,8356.059313663185,2764.0269089006815,-0.00037256386730269127,0.0,0.0,0.0,0.0,0.0,0.0,-11120.08585
t7661,8265.531614961716,3054.492537807127,-0.0003727688423490115,0.0,0.0,0.0,0.0,0.0,0.0,-11320.02378
t7662,7573.207376806513,3930.55058596077,-0.00037276728199288204,0.0,0.0,0.0,0.0,0.0,0.0,-11503.75759
t7663,8135.837306630738,3527.2714461068977,-0.0003727376340424952,0.0,0.0,0.0,0.0,0.0,0.0,-11663.10838
t7664,9343.960024355392,1869.0058239724276,-0.00032832781777303283,0.0,0.0,0.0,0.0,0.0,0.0,-11212.96552
t7665,10918.805783649204,0.00033368175485854715,-491.10200733095724,0.0,0.0,0.0,0.0,0.0,0.0,-10427.70411
t7666,14543.728799180672,0.000396577697676519,-4826.766327758368,0.0,0.0,0.0,0.0,0.0,0.0,-9716.962868
t7667,17801.985205831883,0.0003964418104487912,-7958.057866273694,0.0,0.0,0.0,0.0,0.0,0.0,-9843.927736
t7668,18158.441536605933,4.637775931797181e-5,-8504.485391983711,0.0,0.0,0.0,0.0,0.0,0.0,-9653.956191
t7669,18938.438245527654,4.639764101917113e-5,-8504.485391925282,0.0,0.0,0.0,0.0,0.0,0.0,-10433.9529
t7670,19245.380665209963,4.645645797776639e-5,-8504.485391666445,0.0,0.0,0.0,0.0,0.0,0.0,-10740.89532
t7671,19017.64348185785,0.00039634210035892635,-7728.678838199948,0.0,0.0,0.0,0.0,0.0,0.0,-11288.96504
t7672,17939.231985395218,0.0003964480289146586,-5463.172111843246,0.0,0.0,0.0,0.0,0.0,0.0,-12476.06027
t7673,16745.44886155752,0.0003960861313469419,-2311.3948876436493,0.0,0.0,0.0,0.0,0.0,0.0,-14434.05437
t7674,15380.76348394989,135.1940393409239,-0.0003732908129387123,0.0,0.0,0.0,0.0,0.0,0.0,-15515.95715
t7675,14573.771714908193,1223.1645075337096,-0.00037244190448285157,0.0,0.0,0.0,0.0,0.0,0.0,-15796.93585
t7676,13908.971853686058,1552.2263289012567,-0.0003725873151770559,0.0,0.0,0.0,0.0,0.0,0.0,-15461.19781
t7677,13279.282389306494,1508.0152332525524,-0.00037255904605056685,0.0,0.0,0.0,0.0,0.0,0.0,-14787.29725
t7678,12713.217429138625,1112.846643370328,-0.00037250895309568215,0.0,0.0,0.0,0.0,0.0,0.0,-13826.0637
t7679,12429.405826467577,753.2708759727477,-0.00037244032428916315,0.0,0.0,0.0,0.0,0.0,0.0,-13182.67633
t7680,11777.117045151213,501.998717186827,-0.00037233804139989886,0.0,0.0,0.0,0.0,0.0,0.0,-12279.11539
t7681,10987.936593533896,619.9845689421159,-0.00037247601068451605,0.0,0.0,0.0,0.0,0.0,0.0,-11607.92079
t7682,10415.618704215798,742.3498082403744,-0.0003724561732198117,0.0,0.0,0.0,0.0,0.0,0.0,-11157.96814
t7683,9918.166721172132,991.3821412961531,-0.0003724682859243855,0.0,0.0,0.0,0.0,0.0,0.0,-10909.54849
t7684,9368.208927182664,1557.2993653298943,-0.0003725125586020768,0.0,0.0,0.0,0.0,0.0,0.0,-10925.50792
t7685,8670.472482328378,2459.868410218594,-0.00037254697105293345,0.0,0.0,0.0,0.0,0.0,0.0,-11130.34052
t7686,8084.4516650040205,3188.562767739967,-0.0003727439897342823,0.0,0.0,0.0,0.0,0.0,0.0,-11273.01406
t7687,9349.7129918608,1973.1186705908872,-0.00028245168705851725,0.0,0.0,0.0,0.0,0.0,0.0,-11322.83138
t7688,13180.240018955863,0.0004671750381888956,-2022.2452161308997,0.0,0.0,0.0,0.0,0.0,0.0,-11157.99527
t7689,18024.671392173335,9.660548459642713e-5,-8254.397794778846,0.0,0.0,0.0,0.0,0.0,0.0,-9770.273694
t7690,17332.693903394942,227.27110382616823,-8277.210193221112,0.0,0.0,0.0,0.0,0.0,0.0,-9282.754814
t7691,17444.15301809628,278.49852964009835,-8225.98275973637,0.0,0.0,0.0,0.0,0.0,0.0,-9496.668788
t7692,17096.530314107888,373.165688539208,-8131.315596647122,0.0,0.0,0.0,0.0,0.0,0.0,-9338.380406
t7693,17447.911770793577,384.6949822047458,-8119.786302998329,0.0,0.0,0.0,0.0,0.0,0.0,-9712.82045
t7694,17008.342117893902,343.3207752975698,-8161.160510191483,0.0,0.0,0.0,0.0,0.0,0.0,-9190.502383
t7695,17537.428252857735,264.6502361248749,-8239.831053982613,0.0,0.0,0.0,0.0,0.0,0.0,-9562.247435
t7696,19358.27990328542,159.90310993010522,-8344.578183215592,0.0,0.0,0.0,0.0,0.0,0.0,-11173.60483
t7697,20202.143761431696,0.0014021505004267853,-7176.070383582197,0.0,0.0,0.0,0.0,0.0,0.0,-13026.07478
t7698,17438.957904630184,0.0007114489068258945,-3056.03416607909,0.0,0.0,0.0,0.0,0.0,0.0,-14382.92445
t7699,15818.440668306852,0.0004195433189715425,-885.8180978501703,0.0,0.0,0.0,0.0,0.0,0.0,-14932.62299
t7700,14514.92194195113,333.435330408901,-0.0003723600299641058,0.0,0.0,0.0,0.0,0.0,0.0,-14848.3569
t7701,13284.099654349433,1130.4359481770225,-0.00037252645575923296,0.0,0.0,0.0,0.0,0.0,0.0,-14414.53523
t7702,11887.281023476995,1892.2610691109044,-0.0003725879000229342,0.0,0.0,0.0,0.0,0.0,0.0,-13779.54172
t7703,10437.352685653726,2424.324786956268,-0.0003726099926433598,0.0,0.0,0.0,0.0,0.0,0.0,-12861.6771
t7704,9163.968955338507,3112.38464727931,-0.00037261781651612213,0.0,0.0,0.0,0.0,0.0,0.0,-12276.35323
t7705,7860.824404530126,3692.566578076061,-0.00037260618659455376,0.0,0.0,0.0,0.0,0.0,0.0,-11553.39061
t7706,7219.487024738782,3922.056337991109,-0.00037272989074097374,0.0,0.0,0.0,0.0,0.0,0.0,-11141.54299
t7707,6854.329009712359,4023.0653129965626,-0.00037270892198653835,0.0,0.0,0.0,0.0,0.0,0.0,-10877.39395
t7708,6686.877804675147,4171.188748009707,-0.000372684853008896,0.0,0.0,0.0,0.0,0.0,0.0,-10858.06618
t7709,6594.308055017786,4522.921247651952,-0.0003726697371324328,0.0,0.0,0.0,0.0,0.0,0.0,-11117.22893
