Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,255,12993.5761
,,,,,,,,256,14329.82241
,,,,,,,,257,15641.57999
,,,,,,,,258,16352.65588
,,,,,,,,259,16701.22706
,,,,,,,,260,16512.68807
,,,,,,,,261,15821.98985
,,,,,,,,262,16115.0802
,,,,,,,,263,15144.52955
,,,,,,,,264,14209.40049
,,,,,,,,265,13426.87864
,,,,,,,,266,12801.9763
,,,,,,,,267,12443.96874
,,,,,,,,268,12183.95702
,,,,,,,,269,12242.12937
,,,,,,,,270,12399.2478
,,,,,,,,271,12722.55517
,,,,,,,,272,12629.53725
,,,,,,,,273,11916.44755
,,,,,,,,274,11573.84591
,,,,,,,,275,11282.48186
,,,,,,,,276,10665.60658
,,,,,,,,277,10888.47752
,,,,,,,,278,11496.11975
,,,,,,,,279,12690.55704
,,,,,,,,280,13948.73736
,,,,,,,,281,15418.00453
,,,,,,,,282,16329.41402
,,,,,,,,283,16752.7846
,,,,,,,,284,16759.63411
,,,,,,,,285,16041.79777
,,,,,,,,286,16091.34783
,,,,,,,,287,15303.41326
,,,,,,,,288,14440.28144
,,,,,,,,289,13626.13904
,,,,,,,,290,12940.86213
,,,,,,,,291,12582.57105
,,,,,,,,292,12443.24931
,,,,,,,,293,12373.25053
,,,,,,,,294,12519.57946
,,,,,,,,295,12671.8221
,,,,,,,,296,12395.97416
,,,,,,,,297,11969.7184
,,,,,,,,298,11186.61382
,,,,,,,,299,10710.63338
,,,,,,,,300,10341.7843
,,,,,,,,301,10817.61786
,,,,,,,,302,11516.82208
,,,,,,,,303,12604.93162
,,,,,,,,304,13930.66848
,,,,,,,,305,15605.45962
,,,,,,,,306,16527.03765
,,,,,,,,307,16915.6011
,,,,,,,,308,16900.73072
,,,,,,,,309,16263.54512
,,,,,,,,310,16416.35986
,,,,,,,,311,15469.76943
,,,,,,,,312,14540.09166
,,,,,,,,313,13648.71992
,,,,,,,,314,13007.03585
,,,,,,,,315,12670.13417
,,,,,,,,316,12462.40184
,,,,,,,,317,12485.16002
,,,,,,,,318,12684.8172
,,,,,,,,319,12942.7475
,,,,,,,,320,12771.02001
,,,,,,,,321,12549.66031
,,,,,,,,322,11919.91684
,,,,,,,,323,11118.92438
,,,,,,,,324,10907.24397
,,,,,,,,325,11481.19532
,,,,,,,,326,12163.45083
,,,,,,,,327,13389.30168
,,,,,,,,328,14371.17142
,,,,,,,,329,15876.38154
,,,,,,,,330,16681.43893
,,,,,,,,331,16882.86038
,,,,,,,,332,16806.12478
,,,,,,,,333,16225.22789
,,,,,,,,334,16338.58434
,,,,,,,,335,15601.29413
,,,,,,,,336,14734.40173
,,,,,,,,337,13891.91733
,,,,,,,,338,13175.33036
,,,,,,,,339,12683.26595
,,,,,,,,340,12476.2685
,,,,,,,,341,12360.60904
,,,,,,,,342,12099.74184
,,,,,,,,343,11764.63228
,,,,,,,,344,11179.7867
,,,,,,,,345,10749.52983
,,,,,,,,346,10304.37706
,,,,,,,,347,10026.77968
,,,,,,,,348,9988.21136
,,,,,,,,349,10351.18447
,,,,,,,,350,11344.34612
,,,,,,,,351,12573.63794
,,,,,,,,352,13803.14268
,,,,,,,,353,15338.0346
,,,,,,,,354,16516.57524
,,,,,,,,355,17240.9894
,,,,,,,,356,17245.205
,,,,,,,,357,16613.52107
,,,,,,,,358,16628.78073
,,,,,,,,359,15885.99012
,,,,,,,,360,15012.86722
,,,,,,,,361,14229.55392
,,,,,,,,362,13544.2083
,,,,,,,,363,13090.29067
,,,,,,,,364,12697.76712
,,,,,,,,365,12468.08132
,,,,,,,,366,12362.62947
,,,,,,,,367,12047.15251
,,,,,,,,368,11295.27935
,,,,,,,,369,10901.91515
,,,,,,,,370,10220.76934
,,,,,,,,371,10000.90437
,,,,,,,,372,9795.598949
,,,,,,,,373,10399.96245
,,,,,,,,374,11341.93009
,,,,,,,,375,12699.42262
,,,,,,,,376,14348.44096
,,,,,,,,377,16342.54307
,,,,,,,,378,17641.11967
,,,,,,,,379,17960.65728
,,,,,,,,380,17976.77037
,,,,,,,,381,17292.04519
,,,,,,,,382,17447.2952
,,,,,,,,383,16404.36076
,,,,,,,,384,15353.75649
,,,,,,,,385,14446.71296
,,,,,,,,386,13695.30756
,,,,,,,,387,13309.86098
,,,,,,,,388,13035.7636
,,,,,,,,389,13054.68118
,,,,,,,,390,13330.17445
,,,,,,,,391,13941.50203
,,,,,,,,392,13852.73521
