BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t26,6753.198737569805,5986.385617551926,-322.1799651224186,0.0,0.0,0.0,0.0,0.0,0.0,-12417.40439
t27,6772.115260807586,5613.734436929808,-329.9416877370001,0.0,0.0,0.0,0.0,0.0,0.0,-12055.90801
t28,7074.77963411679,5142.777536173815,-335.60671029080237,0.0,0.0,0.0,0.0,0.0,0.0,-11881.95046
t29,7074.779634180868,4927.893259508254,-327.91954368931295,0.0,0.0,0.0,0.0,0.0,0.0,-11674.75335
t30,7328.15095755558,4464.405710459985,-312.8168480159758,0.0,0.0,0.0,0.0,0.0,0.0,-11479.73982
t31,9943.154499608723,1225.5817778840524,-377.5172174923738,0.0,0.0,0.0,0.0,0.0,0.0,-10791.21906
t32,14874.806048813616,724.6242442487281,-5560.668833061586,0.0,0.0,0.0,0.0,0.0,0.0,-10038.76146
t33,18270.43168026391,0.0003683897431746389,-8617.202279655026,0.0,0.0,0.0,0.0,0.0,0.0,-9653.229769
t34,17540.223965134515,215.16414212339944,-8402.039937257767,0.0,0.0,0.0,0.0,0.0,0.0,-9353.34817
t35,17328.69528060813,250.3229629945416,-8366.881131602233,0.0,0.0,0.0,0.0,0.0,0.0,-9212.137112
t36,17518.48241398661,261.54984118610594,-8355.654222170066,0.0,0.0,0.0,0.0,0.0,0.0,-9424.378033
t37,17505.260563191096,272.5486096985364,-8344.655445890643,0.0,0.0,0.0,0.0,0.0,0.0,-9433.153727
t38,17260.122220337234,250.9072929200685,-8366.296779255983,0.0,0.0,0.0,0.0,0.0,0.0,-9144.732734
t39,19498.26030585848,232.40457092946676,-8384.799506784482,0.0,0.0,0.0,0.0,0.0,0.0,-11345.86537
t40,20343.286651162765,284.4768946006732,-8332.727255766024,0.0,0.0,0.0,0.0,0.0,0.0,-12295.03629
t41,17403.782984544447,672.3357386864484,-4634.974143230574,0.0,0.0,0.0,0.0,0.0,0.0,-13441.14458
t42,14123.094802324315,1049.2016770247521,-426.54827934917057,0.0,0.0,0.0,0.0,0.0,0.0,-14745.7482
t43,11671.64745654637,4149.301370711229,-336.77385725701873,0.0,0.0,0.0,0.0,0.0,0.0,-15484.17497
t44,10120.339876351181,5875.4623206627875,-307.25718701412507,0.0,0.0,0.0,0.0,0.0,0.0,-15688.54501
t45,10120.339876555656,5330.727985652641,-326.12146220704267,0.0,0.0,0.0,0.0,0.0,0.0,-15124.9464
t46,10177.08944620376,5470.857304778503,-342.7221109828324,0.0,0.0,0.0,0.0,0.0,0.0,-15305.22464
t47,9552.844179965528,5694.51509445836,-332.58030442410575,0.0,0.0,0.0,0.0,0.0,0.0,-14914.77897
t48,8342.186693006335,5993.41711520858,-317.7461982152237,0.0,0.0,0.0,0.0,0.0,0.0,-14017.85761
t49,7926.023181355749,5593.007633854106,-330.7073452098822,0.0,0.0,0.0,0.0,0.0,0.0,-13188.32347
t50,7585.525762625047,5358.388385263721,-328.38930788839286,0.0,0.0,0.0,0.0,0.0,0.0,-12615.52484
t51,6942.3639716006655,5609.329410452436,-332.83251205329725,0.0,0.0,0.0,0.0,0.0,0.0,-12218.86087
t52,7018.030064705996,5307.0688141646815,-331.2373588705382,0.0,0.0,0.0,0.0,0.0,0.0,-11993.86152
t53,7245.028343973018,5023.871382896837,-326.8046068696734,0.0,0.0,0.0,0.0,0.0,0.0,-11942.09512
t54,6536.040647678306,5568.880067331057,-294.1778850091398,0.0,0.0,0.0,0.0,0.0,0.0,-11810.74283
t55,10836.998431889126,904.6805034559883,-420.39971534444203,0.0,0.0,0.0,0.0,0.0,0.0,-11321.27922
t56,17007.453000755344,476.193693037894,-6868.469813793815,0.0,0.0,0.0,0.0,0.0,0.0,-10615.17688
t57,18581.801354496165,0.0003631290417917942,-8617.202257622856,0.0,0.0,0.0,0.0,0.0,0.0,-9964.59946
t58,17595.32691700865,136.46269789599825,-8480.741371902044,0.0,0.0,0.0,0.0,0.0,0.0,-9251.048243
t59,17463.85650877434,142.76922266483973,-8474.434845433216,0.0,0.0,0.0,0.0,0.0,0.0,-9132.190886
t60,17747.130132511953,152.44243037459563,-8464.76163889029,0.0,0.0,0.0,0.0,0.0,0.0,-9434.810924
t61,18657.62090764785,137.36163120722816,-8479.842418853981,0.0,0.0,0.0,0.0,0.0,0.0,-10315.14012
